Nº Processo,Órgão,Data de Abertura,Objeto,Razão Social,Total Adjudicado,Valor_transformado
25.000.004587.2023,SECRETARIA DE ESTADO DA SAÚDE,15/08/2023,CONTRATAÇÃO EMERGENCIAL DE EMPRESA,03.112.378/0001-75 - RESGATE KM EXPRESS EIRELI,"585.054,60",585054.60
25.000.010053.2023,SECRETARIA DE ESTADO DA SAÚDE,15/08/2023,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS,56.998.982/0031-22 - BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,"210.992,42",210992.42
25.000.013969.2023,SECRETARIA DE ESTADO DA SAÚDE,15/08/2023,"MEDICAMENTOS (SELEXIPAGUE 0,2 MG, 0,4MG, 0,6MG, 0,8MG, 1MG, 1,2MG, 1,4MG, 1,6MG COMPRIMIDOS REVESTIDOS )",51.780.468/0002-68 - JANSSEN-CILAG FARMACEUTICA LTDA,"255.744,00",255744.00
25.235.000077.2023,SES/UNIDADE DE PRONTO ATENDIMENTO CAJAZEIRAS - UPA,15/08/2023,AQUISIÇÃO DE TESTES PARA GASOMETRIA,07.936.090/0001-76 - BIOMED DIST. HOSP. E LABORATORIAL NOSSA SENHORA DA CONCEICAO LTDA,"44.352,00",44352.00
25.235.000078.2023,SES/UNIDADE DE PRONTO ATENDIMENTO CAJAZEIRAS - UPA,15/08/2023,MEDICAMENTOS ,03.817.043/0001-52 - PHARMAPLUS  LTDA,"678.377,70",678377.70
27.201.001163.2023,"SEDH/FUNDAÇÃO DE DESENVOLVIMENTO DA CRIANÇA E DO ADOLESCENTE ""ALICE DE ALMEIDA""",15/08/2023,AQUISIÇÃO DE MATERIAL ESPORTIVO,46.671.750/0001-96 - RD COMERCIO E SERVICOS LTDA,"54.617,00",54617.00
25.000.001614.2023,SECRETARIA DE ESTADO DA SAÚDE,16/08/2023,CONTRATAÇÃO EMERGENCIAL DE EMPRESA,44.634.275/0001-52 - MONTENEGRO E NAARA SERVICOS EM SAUDE HOMECARE LTDA - ME.,"148.140,00",148140.00
25.000.013454.2023,SECRETARIA DE ESTADO DA SAÚDE,17/08/2023,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS (OCTREOTIDA LAR 20 MG PÓ  LIOFILIZADO PARA SOLUÇÃO INJETÁVEL,04.307.650/0015-30 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPÍTALARES E ONCOLOGICOS LTDA,"141.286,04",141286.04
37.000.000276.2023,"SECRETARIA DE ESTADO DO PLANEJAMENTO, ORÇAMENTO E GESTÃO",17/08/2023,AQUISIÇÃO DE MATERIAL PERMANENTE E CONSUMO,46.040.802/0001-26 - DEREK HAGEN BANDEIRA DE LIMA TORRES,"21.423,84",21423.84
25.000.011369.2023,SECRETARIA DE ESTADO DA SAÚDE,18/08/2023,AQUISIÇÃO EMERGENCIAL ,04.307.650/0001-35 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALESRES E ONCOLOGICOS LTDA,"579.323,70",579323.70
25.240.000409.2023,SES/HOSPITAL DE CLINICAS DE CAMPINA GRANDE,18/08/2023,AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR,17.227.485/0001-53 - LG PRODUTOS HOSPITALARES LTDA,"2.145.718,23",2145718.23
25.000.010540.2023,SECRETARIA DE ESTADO DA SAÚDE,21/08/2023,MEDICAMENTOS DIVERSOS ,04.307.650/0015-30 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPÍTALARES E ONCOLOGICOS LTDA,"353.793,00",353793.00
25.000.011136.2023,SECRETARIA DE ESTADO DA SAÚDE,21/08/2023,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS,60.318.797/0001-00 - ASTRAZENECA DO BRASIL LTDA,"328.469,94",328469.94
25.242.000126.2023,SES/UNIDADE DE PRONTO ATENDIMENTO GUARABIRA - UPA,21/08/2023,AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR (INSUMOS DIVERSOS),03.246.587/0001-01 - SUFRAMED COMERCIO DE MATERIAL MEDICO HOSPITALAR LTDA,"29.083,86",29083.86
25.000.010541.2023,SECRETARIA DE ESTADO DA SAÚDE,22/08/2023,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,"1.259.403,88",1259403.88
25.000.008619.2023,SECRETARIA DE ESTADO DA SAÚDE,23/08/2023,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"540.086,28",540086.28
25.000.009170.2023,SECRETARIA DE ESTADO DA SAÚDE,23/08/2023,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS (DARATUMUMABE 400MG E LENALIDOMIDA 25MG,51.780.468/0002-68 - JANSSEN-CILAG FARMACEUTICA LTDA,"489.972,80",489972.80
25.000.016248.2023,SECRETARIA DE ESTADO DA SAÚDE,23/08/2023,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,23.877.015/0001-38 - ASSOCIACAO BRASILEIRA DE APOIO CANNABIS ESPERANCA - ABRACE,"1.800,00",1800.00
25.240.000431.2023,SES/HOSPITAL DE CLINICAS DE CAMPINA GRANDE,23/08/2023,SERVIÇO DE POSTO DE VIGILÂNCIA ARMADA,08.705.015/0001-67 - WEIDER SEGURANCA PRIVADA EIRELI,"223.241,28",223241.28
31.902.382023.2023,SECTMA/FUNDO ESTADUAL DE RECURSOS HÍDRICOS,23/08/2023,"AQUISIÇÃO COM SERVIÇO DE INSTALAÇÃO DE MATERIAIS PARA A CONFECÇÃO, CONFIGURAÇÃO E  CERTIFICAÇÃO DA REDE FÍSICA CABEADA ",10.940.185/0001-78 - ROBSON BARBOSA FERNANDES,"36.000,00",36000.00
25.000.007308.2023,SECRETARIA DE ESTADO DA SAÚDE,24/08/2023, MEDICAMENTOS (DAPAGLIFLOZINA/METFORMINA 10/1000MG E ALOGLIPTINA 25MG) ,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"1.733,40",1733.40
25.000.010621.2023,SECRETARIA DE ESTADO DA SAÚDE,24/08/2023,CONTRATAÇÃO EMERGENCIAL DE EMPRESA,37.208.935/0001-78 - EXATUS GENE LABORATORIO E SERVICOS DE COLETA DE EXAMES GENETICOS LTDA - ME,"4.790,00",4790.00
25.000.013395.2023,SECRETARIA DE ESTADO DA SAÚDE,24/08/2023,CONTRATAÇÃO EMERGENCIAL DE EMPRESA,06.101.061/0002-02 - FUNDAÇÃO PEDRO AMÉRICO - HBOL,"5.400,00",5400.00
25.206.000481.2023,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,24/08/2023,AQUISIÇÃO DE CARNES E DERIVADOS,26.290.355/0001-56 - LM DISTRIBUIDORA EIRELI,"188.689,00",188689.00
25.240.000437.2023,SES/HOSPITAL DE CLINICAS DE CAMPINA GRANDE,24/08/2023,SERVIÇO DE HEMODIÁLISE,13.377.317/0001-93 - CTERT CENTRO DE TRATAMENTO ESPECIALIZADO RENAL E TRANSPLANTES S/S LTDA,"251.280,00",251280.00
25.000.004024.2023,SECRETARIA DE ESTADO DA SAÚDE,25/08/2023,PRÓTESE TRANSFEMURAL ESQUERDA,24.499.337/0001-53 - ORTOTEC ORTOPEDIA TECNICA LTDA,"8.900,00",8900.00
25.000.016242.2023,SECRETARIA DE ESTADO DA SAÚDE,25/08/2023,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,23.877.015/0001-38 - ASSOCIACAO BRASILEIRA DE APOIO CANNABIS ESPERANCA - ABRACE,"3.360,00",3360.00
25.204.000099.2023,SES/COMPLEXO DE SAÚDE JULIANO MOREIRA,25/08/2023,AQUISIÇÃO EMERGENCIAL DE MATERIAL MÉDICO HOSPITALAR,Razão Social não encontrada,"51.830,04",51830.04
25.235.000081.2023,SES/UNIDADE DE PRONTO ATENDIMENTO CAJAZEIRAS - UPA,25/08/2023,MATERIAL MÉDICO E HOSPITALAR ,03.817.043/0001-52 - PHARMAPLUS  LTDA,"359.777,84",359777.84
15.000.000103.2023,POLÍCIA MILITAR DO ESTADO DA PARAÍBA,28/08/2023,CONTRATAÇÃO DE PROJETO ARQUITETÔNICO E RELATÓRIO TÉCNICO PARA EXECUÇÃO DE REFORMA DO CENTRO DE EDUCAÇÃO DA PMPB.,41.121.550/0001-46 - DAVYSON ROBERTO DOS S DE BRITO,"12.000,00",12000.00
25.000.010287.2023,SECRETARIA DE ESTADO DA SAÚDE,28/08/2023,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA REALIZAÇÃO DE DOSAGEM SÉRIDA DE ANTICORPO ANTI-MOG,32.958.432/0001-04 - SLE SERVIÇO DE LABORATÓRIO ESPECIALIZADO LTDA,"4.700,00",4700.00
25.216.002192.2023,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,28/08/2023,AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR CURATIVOS EM CARÁTER EMERGENCIAL,06.948.769/0002-01 - TECNOCENTER MATERIAIS MEDICOS HOSPITALARES LTDA,"238.004,90",238004.90
26.201.024645.2023,SEDS/DEPARTAMENTO ESTADUAL DE TRÂNSITO DO ESTADO DA PARAÍBA,28/08/2023,CONTRATAÇÃO EMERGENCIAL DO SERVIÇO DE LOCAÇÃO DE VEÍCULOS ADMINISTRATIVOS.,16.670.085/0001-55 - LOCALIZA RENT A CAR S/A,"330.796,80",330796.80
22.000.030439.2023,SECRETARIA DE ESTADO DA EDUCAÇÃO E DA CIÊNCIA E TECNOLOGIA,29/08/2023," AQUISIÇÃO DE FITAS ADESIVAS, FITILHO E ESTILETES",Razão Social não encontrada,"22.139,00",22139.00
25.206.000499.2023,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,29/08/2023,AQUISIÇÃO DE MATERIAIS ORTOPÉDICOS,04.099.366/0001-10 - W FELIPE DA SILVA,"865.783,00",865783.00
25.220.000411.2023,SES/HOSPITAL DISTRITAL DE POMBAL,29/08/2023,SERVIÇO DE LAVANDERIA HOSPITALAR A QUILOGRAMA,"20.546.182/0003-70 - SERVBRASIL SOLUÇÕES EM ALIMENTAÇÃO, LIMPEZA E LAVANDERIA LTDA","409.860,00",409860.00
15.000.000101.2023,POLÍCIA MILITAR DO ESTADO DA PARAÍBA,30/08/2023,AQUISIÇÃO DE QUEPES,15.136.916/0001-40 - SUPORTE COMÉRCIO E DISTRIBUIÇÃO LTDA,"12.814,00",12814.00
25.000.008315.2023,SECRETARIA DE ESTADO DA SAÚDE,30/08/2023, EXAME DE SEQUENCIAMENTO COMPLETO DO EXOMA,06.069.729/0001-09 - MEDICA COMERCIO REPRESENTACAO E IMPORTACAO LTDA,"4.900,00",4900.00
25.000.013460.2023,SECRETARIA DE ESTADO DA SAÚDE,30/08/2023,AQUISIÇÃO EMERGENCIAL DE CURATIVOS BIOLÓGICOS E MEDICAMENTOS,12.600.168/0001-17 - MOLNLYCKE HEALTH CARE VENDA DE PRODUTOS MEDICOS LTDA.,"182.594,58",182594.58
25.000.014238.2023,SECRETARIA DE ESTADO DA SAÚDE,30/08/2023,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS ,18.459.628/0097-67 - BAYER S.A.,"112.108,20",112108.20
25.235.000083.2023,SES/UNIDADE DE PRONTO ATENDIMENTO CAJAZEIRAS - UPA,30/08/2023,MATERIAIS DESCARTÁVEIS ,24.085.444/0001-35 - ALAN RUDNEY CABRAL DE LIMA,"50.307,30",50307.30
26.201.024904.2023,SEDS/DEPARTAMENTO ESTADUAL DE TRÂNSITO DO ESTADO DA PARAÍBA,30/08/2023,CONTRATAÇÃO DE SERVIÇO DE LICENCIAMENTO DE USO DE SOFTWARE INTEGRADO- TALONARIO ,24.144.040/0001-75 - SERTTEL LTDA,"493.410,90",493410.90
16.000.000082.2023,SECRETARIA DE ESTADO DA AGRICULTURA FAMILIAR E DO DESENVOLVIMENTO DO SEMIÁRIDO,31/08/2023,CONTRATAÇÃO DE SERVIÇOS DE EMPRESA ESPECIALIZADA NA CONFECÇÃO DE MATERIAL GRÁFICO,50.820.753/0001-11 - RAIO GRAFICA E COMUNICACAO VISUAL,"23.974,25",23974.25
21.205.000268.2023,SETDE/JUNTA COMERCIAL DO ESTADO DA PARAIBA,31/08/2023,CONTRATAÇÃO DE SERVIÇO DE INTERNET EM CAMPINA GRANDE,06.346.446/0001-59 - SITECNET INFORMATICA LTDA -ME,"10.200,00",10200.00
25.240.000448.2023,SES/HOSPITAL DE CLINICAS DE CAMPINA GRANDE,31/08/2023,AQUISIÇÃO DE CONTRASTE IODADO,11.994.394/0001-67 - ORTO MEDICAL MATERIAIS CIRURGICOAS LTDA,"54.900,00",54900.00
25.000.013972.2023,SECRETARIA DE ESTADO DA SAÚDE,1/9/2023, MEDICAMENTOS ,08.958.628/0002-97 - ONCOEXO DISTRIBUIDORA DE MEDICAMENTOS LTDA,"1.038.282,00",1038282.00
25.000.014320.2023,SECRETARIA DE ESTADO DA SAÚDE,1/9/2023,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS ,04.307.650/0015-30 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPÍTALARES E ONCOLOGICOS LTDA,"83.863,44",83863.44
25.000.015194.2023,SECRETARIA DE ESTADO DA SAÚDE,1/9/2023,AQUISIÇÃO EMERGENCIAL DE SUPLEMENTO NUTRICIONAL (REF. NEO ADVANCE 400G) ,29.329.985/0001-85 - MEDERI DISTRIBUICAO E IMPORTACAO DE PRODUTOS PARA SAUDE LTDA,"75.000,00",75000.00
25.000.015371.2023,SECRETARIA DE ESTADO DA SAÚDE,1/9/2023,AQUISIÇÃO EMERGENCIAL DE SUPLEMENTO NUTRICIONAL,29.329.985/0001-85 - MEDERI DISTRIBUICAO E IMPORTACAO DE PRODUTOS PARA SAUDE LTDA,"105.450,00",105450.00
25.000.012207.2023,SECRETARIA DE ESTADO DA SAÚDE,4/9/2023,CONTRATAÇÃO DOS SERVIÇOS TÉCNICOS ESPECIALIZADOS ,09.189.499/0001-00 - COMPANHIA DE PROC.DE DADOS DA PARAIBA - CODATA,"5.190.700,00",5190700.00
25.000.012906.2023,SECRETARIA DE ESTADO DA SAÚDE,4/9/2023,"AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (OCRELIZUMABE 30MG/ML, SOL. INJ.) ",33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,"1.023.162,56",1023162.56
25.000.015180.2023,SECRETARIA DE ESTADO DA SAÚDE,4/9/2023, FÓRMULA INFANTIL (REF. ISOSOURCE 1.5) ,01.687.725/0002-43 - CENTRO ESPECIALIZADO EM NUTRICAO ENTERAL E PARENTERAL - CENEP LTDA,"28.800,00",28800.00
27.201.001223.2023,"SEDH/FUNDAÇÃO DE DESENVOLVIMENTO DA CRIANÇA E DO ADOLESCENTE ""ALICE DE ALMEIDA""",4/9/2023,CONTRATAÇÃO DE SERVIÇO DE COFFEE BREAK ,"16.631.594/0001-79 - DROP'S BUFFET, EVENTOS E ESCOLA GASTRONÔMICA LTDA","12.960,00",12960.00
38.000.000393.2023,POLICIA CIVIL DO ESTADO DA PARAIBA,4/9/2023,CONTRATAÇÃO DE SERVIÇO DE CERTIFICAÇÃO DIGITAL ,36.508.740/0001-80 - MR SRVIÇO DE CERTIFICAO LTDA,"42.514,00",42514.00
25.000.000781.2023,SECRETARIA DE ESTADO DA SAÚDE,5/9/2023,AQUISIÇÃO EMERGENCIAL DE INSUMOS,08.975.531/0001-01 - MEDICAL CARE LTDA,"61.024,00",61024.00
25.000.012293.2023,SECRETARIA DE ESTADO DA SAÚDE,5/9/2023," MEDICAMENTOS DIVERSOS, APARELHO E SENSOR FREESTYLE LIBRE",33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,"69.759,12",69759.12
25.000.012362.2023,SECRETARIA DE ESTADO DA SAÚDE,5/9/2023, MEDICAMENTOS,08.958.628/0002-97 - ONCOEXO DISTRIBUIDORA DE MEDICAMENTOS LTDA,"215.585,00",215585.00
07.000.000653.2023,"SECRETARIA DE ESTADO DA JUVENTUDE, ESPORTE E LAZER",6/9/2023,SERVIÇO DE CONFECÇÃO E TROCA DOS ADESIVOS DA COBERTURA DOS BANCOS DE RESERVA DO ESTÁDIO O ALMEIDÃO,50.608.586/0001-40 - JOSE FLAVIO CALACA DA SILVA,"12.000,00",12000.00
20.000.300499.2023,SECRETARIA DE ESTADO DA FAZENDA,6/9/2023,CONTRATAÇÃO SEGURO  DE ACIDENTES PESSOAIS DOS ESTAGIÁRIOS,87.883.807/0001-06 - MBM SEGURADORA SA,"600,00",600.00
22.208.000057.2023,SEE/FUNDAÇÃO CENTRO INTEGRADO DE APOIO AO PORTADOR DE DEFICIÊNCIA,6/9/2023,CONTRATAÇÃO DE EMPRESA DE MANUTENÇÃO PREVENTIVA E/OU CORRETIVA A SER REALIZADO NOS VEÍCULOS.,05.815.635/0001-60 - JOSE FIRMINO DA CRUZ FILHO,"50.000,00",50000.00
25.000.012959.2023,SECRETARIA DE ESTADO DA SAÚDE,6/9/2023,AQUISIÇÃO EMERGENCIAL ,04.307.650/0001-35 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALESRES E ONCOLOGICOS LTDA,"34.599,00",34599.00
27.000.003323.2023,SECRETARIA DE ESTADO DE DESENVOLVIMENTO HUMANO,6/9/2023,CONFECÇÃO DE MATERIAL GRÁFICO ,40.953.788/0001-75 - GRAFIPEL EDITORA GRAFICA LTDA,"4.550,00",4550.00
32.901.900057.2023,SEDAP/FUNDO DE DESENVOLVIMENTO AGROPECUÁRIO DO ESTADO DA PARAÍBA,6/9/2023,"AQUIS.DE IMPLEMENTOS AGRICULAS, VISANDO ATENDER AS NECESSIDADES DA SEDAP/GEOR",20.662.190/0001-10 - RECIFE AGRICOLA EIRELI-EPP,"57,00",57.00
25.000.013965.2023,SECRETARIA DE ESTADO DA SAÚDE,11/9/2023, MEDICAMENTO (AZATIOPRINA 50 MG ) ,30.553.793/0001-37 - JASMED DISTRIBUIDORA DE MEDICAMENTOS LTDA,"130.788,00",130788.00
27.000.004709.2023,SECRETARIA DE ESTADO DE DESENVOLVIMENTO HUMANO,11/9/2023,SOLICITAÇÃO DE IMPRESSÃO DE MATERIAL GRÁFICO PARA ATENDER AS DEMANDAS DA POLÍTICA DE ASSISTÊNCIA SOCIAL,40.953.788/0001-75 - GRAFIPEL EDITORA GRAFICA LTDA,"515,00",515.00
16.000.000088.2023,SECRETARIA DE ESTADO DA AGRICULTURA FAMILIAR E DO DESENVOLVIMENTO DO SEMIÁRIDO,12/9/2023,PROCASE - CONTRATAÇÃO DE SERVIÇO PARA LOCAÇÃO DE IMPRESSORA OUTSOURCING.,40.938.508/0001-50 - MAQ-LAREM MAQUINAS MOV. E EQUIPAMENTOS LTDA,"28.344,00",28344.00
21.901.000360.2023,SETDE/FUNDO ESTADUAL DE APOIO AO EMPREENDEDORISMO - EMPREENDER-PB,12/9/2023,SERVIÇO DE DESINSTALAÇÃO DE AR CONDICIONADO ,Razão Social não encontrada,"1.900,00",1900.00
25.235.000087.2023,SES/UNIDADE DE PRONTO ATENDIMENTO CAJAZEIRAS - UPA,12/9/2023,LOCAÇÃO DE USINA DE PRODUÇÃO DE GASES MEDICINAIS,03.259.614/0001-80 - R.C. COMERCIO GASES E EQUIPAMENTOS LTDA-ME,"102.000,00",102000.00
25.205.012648.2023,SES/COMPLEXO DE SAÚDE CLEMENTINO FRAGA,13/09/2023,AQUISIÇÃO DE PANIFICADOS,05.672.519/0001-30 - PADARIA PONTES LTDA,"57.224,10",57224.10
25.235.000089.2023,SES/UNIDADE DE PRONTO ATENDIMENTO CAJAZEIRAS - UPA,13/09/2023,SERVIÇO DE RECARGA DE TONER COM COMODATO DE IMPRESSORAS,42.268.108/0001-00 - N HONORATO ALEXANDRE,"28.530,00",28530.00
25.000.015443.2023,SECRETARIA DE ESTADO DA SAÚDE,14/09/2023, MEDICAMENTOS,04.307.650/0015-30 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPÍTALARES E ONCOLOGICOS LTDA,"189.215,60",189215.60
26.201.027260.2023,SEDS/DEPARTAMENTO ESTADUAL DE TRÂNSITO DO ESTADO DA PARAÍBA,14/09/2023,CONTRATAÇÃO DO SERVIÇO DE SEGURANÇA DO TRABALHO,50.905.102/0001-24 -  EMMA MEDICINA DO TRABALHO LTDA,"15.014,36",15014.36
27.000.005371.2023,SECRETARIA DE ESTADO DE DESENVOLVIMENTO HUMANO,15/09/2023,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE LINK DE INTERNET.,29.618.308/0001-87 - 29.618.308 JOSE SEVERINO FILHO,"2.800,00",2800.00
25.237.000318.2023,SES/MATERNIDADE DR. PEREGRINO FILHO (PATOS),16/09/2023,AQUISICAO DE SOROS SES-PRC-2023/18247,06.628.333/0001-46 - FARMACE - INDUSTRIA QUIMICO-FARMACEUTICA CEARENSE LTDA,"141.784,00",141784.00
32.000.800035.2023,SECRETARIA DE ESTADO DO DESENVOLVIMENTO DA AGROPECUÁRIA E DA PESCA,18/09/2023,CONFECÇÃO DE CAMISETAS E BONÉS,44.255.217/0001-18 - ORION COM. E SERVIÇOS LTDA,"47.750,00",47750.00
25.250.000770.2023,INSTITUTO DE ASSISTÊNCIA À SAÚDE DO SERVIDOR,19/09/2023,AQUISIÇÃO DE MATERIAL DE HIGIENE E LIMPEZA,35.662.863/0001-09 - JOELMA HONORATO DE OLIVEIRA,"36.636,88",36636.88
27.000.004869.2023,SECRETARIA DE ESTADO DE DESENVOLVIMENTO HUMANO,20/09/2023,CONTRATAÇÃO DE SERVIÇOS GRÁFICOS,50.815.003/0001-51 - 50.815.003 LUCIANO MATEUS DE OLIVEIRA SOUZA,"48.555,00",48555.00
21.205.000321.2023,SETDE/JUNTA COMERCIAL DO ESTADO DA PARAIBA,21/09/2023,CONTRATAÇÃO DE EMPRESA DE MUDANÇA,34.832.698/0001-23 - A. M. P. DE ANDRADE,"17.495,00",17495.00
21.901.000390.2023,SETDE/FUNDO ESTADUAL DE APOIO AO EMPREENDEDORISMO - EMPREENDER-PB,21/09/2023,SERVIÇO DE COFFEE BREAK PARA FEIRA DE NEGÓCIOS E EMPREENDEDORISMO DA PARAÍBA - FENEMP - REMÍGIO,08.362.071/0001-46 - PANIFICADORA IMPERIAL LTDA,"2.200,00",2200.00
30.000.002180.2023,ENCARGOS GERAIS DO ESTADO,21/09/2023,2ª DELEGACIA DISTRITAL DE POLICIA CIVIL EM JOÃO PESSOA,24.219.966/0001-82 - EXECUT CONSULTORIA & NEGOCIOS IMOBILIARIOS LTDA,"129.600,00",129600.00
25.000.010054.2023,SECRETARIA DE ESTADO DA SAÚDE,22/09/2023,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,51.780.468/0002-68 - JANSSEN-CILAG FARMACEUTICA LTDA,"189.118,80",189118.80
33.000.001258.2023,SECRETARIA DE ESTADO DA CULTURA,22/09/2023,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO SERVIÇO DE INSTALAÇÃO E CONFIGURAÇÃO DE REDE ESTRUTURADA (INFORMÁTICA) COM MATERIAL INCLUSO,19.636.021/0001-26 - HARRISON VINICIUS PEREIRA DA SILVA,"41.867,32",41867.32
27.000.005330.2023,SECRETARIA DE ESTADO DE DESENVOLVIMENTO HUMANO,25/09/2023,AQUISIÇÃO DE BANNER PARA O CEAS/PB.,41.570.283/0001-94 - S D COMERCIO DE ARTIGOS DE BRINDES E SERVICOS GRAFICOS LTDA,"1.080,00",1080.00
07.000.000728.2023,"SECRETARIA DE ESTADO DA JUVENTUDE, ESPORTE E LAZER",26/09/2023,AQUISIÇÃO DE PRODUTOS QUÍMICOS ,20.476.623/0001-42 - CARBALLO COMERCIO LTDA - EPP,"381.565,22",381565.22
27.201.001349.2023,"SEDH/FUNDAÇÃO DE DESENVOLVIMENTO DA CRIANÇA E DO ADOLESCENTE ""ALICE DE ALMEIDA""",26/09/2023,AQUISIÇÃO DE KITS PEDAGÓGICO PARA PROFISSIONAIS DA EDUCAÇÃO ,51.174.387/0001-33 - RP COMÉRCIO E SERVIÇOS,"12.763,50",12763.50
27.201.001362.2023,"SEDH/FUNDAÇÃO DE DESENVOLVIMENTO DA CRIANÇA E DO ADOLESCENTE ""ALICE DE ALMEIDA""",26/09/2023,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇO DE DESINSTALAÇÃO DE SISTEMA DE CFTV EXISTENTE, INSTALAÇÃO, LOCAÇÃO E MANUTENÇÃO DE CÂMERAS/EQUIPAMENTOS DE SEGURANÇA ELETRÔNICA.",05.230.239/0001-71 - CARLOS EDUARDO BENEVIDES SANTOS,"822.300,00",822300.00
32.000.800041.2023,SECRETARIA DE ESTADO DO DESENVOLVIMENTO DA AGROPECUÁRIA E DA PESCA,26/09/2023,CONTRAT. DE EMPRESA ESPECIALIZADA PARA MANUTENÇÃO DE AR CONDICIONADOS P/ATENDER SEDAP/DEASA,44.299.172/0001-83 - MCL- CONSTRUÇÕES E SERVIÇOS LTDA,"21.000,93",21000.93
25.000.013973.2023,SECRETARIA DE ESTADO DA SAÚDE,27/09/2023,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS ,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"872.300,04",872300.04
25.000.016250.2023,SECRETARIA DE ESTADO DA SAÚDE,27/09/2023,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,04.307.650/0026-93 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA.,"107.985,60",107985.60
09.103.000023.2023,CASA MILITAR,2/10/2023,AQUISIÇÃO DE NOTEBOOKS,45.415.594/0001-30 - LIZANDRA SOARES LOPES,"11.850,00",11850.00
25.233.000203.2023,SES/HOSPITAL DISTRITAL DE SOLÂNEA - SOLANEA,2/10/2023,CONTRATAÇÃO DE LABORATÓRIO ESPECIALIZADO EM ANÁLISES CLÍNICAS EM CARATER EMERGENCIAL,09.052.387/0001-02 - MARIA DO SOCORRO RIBEIRO - ME,"98.841,00",98841.00
27.000.000872.2023,SECRETARIA DE ESTADO DE DESENVOLVIMENTO HUMANO,2/10/2023,AQUISIÇÃO DE CRACHÁS E CORDÕES PERSONALIZADOS PARA ATENDER AS DEMANDAS DO SISTEMA NACIONAL DE EMPREGOS - SINE/PB;.,41.570.283/0001-94 - S D COMERCIO DE ARTIGOS DE BRINDES E SERVICOS GRAFICOS LTDA,"1.883,50",1883.50
07.000.000785.2023,"SECRETARIA DE ESTADO DA JUVENTUDE, ESPORTE E LAZER",3/10/2023,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇO DE VIGILÂNCIA ARMADA,09.377.459/0001-83 - KAIROS SEGURANCA LTDA,"1.887.443,46",1887443.46
22.201.001569.2023,SEC/FUNDAÇÃO ESPAÇO CULTURAL DA PARAÍBA,3/10/2023,SERVIÇO DE TERCEIRO PESSOA JURÍDICA. DECORAÇÃO.,31.100.099/0001-27 - KASA DA FALESIA EVENTOS E RECEPCOES LTDA,"20.000,00",20000.00
25.000.008642.2023,SECRETARIA DE ESTADO DA SAÚDE,3/10/2023,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"314.052,30",314052.30
25.000.016095.2023,SECRETARIA DE ESTADO DA SAÚDE,3/10/2023, MEDICAMENTOS (DAPAGLIFLOZINA/METFORMINA 10/1000MG E ALOGLIPTINA 25MG) ,18.459.628/0097-67 - BAYER S.A.,"434.467,16",434467.16
